# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 06:32:10 2018
#
# CONSTRAINT:  where (pl_disc = 2018
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_metfe:       Stellar Metallicity [dex]
#
loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbsmax,st_teff,st_mass,st_rad,pl_eqt,pl_insol,pl_rade,pl_ratdor,pl_ratror,st_logg,st_dens,st_metfe
863,K2-155,K2-155 c,3,13.85000000,0.094600,4258.00,0.65,0.58,583,,2.600,27.000000,0.03210,4.60,,-0.300
864,K2-155,K2-155 d,3,40.71800000,0.193700,4258.00,0.65,0.58,381,,1.900,63.300000,0.02730,4.60,,-0.300
865,K2-156,K2-156 b,1,0.81314000,0.014900,4597.00,0.66,0.66,1347,,1.150,4.100000,0.01610,4.62,,-0.250
866,K2-157,K2-157 b,1,0.36525700,,5456.00,0.94,0.88,,,1.055,1.876041,0.01105,4.55,,0.130
867,K2-158,K2-158 b,2,10.06049000,0.088700,5503.00,0.92,0.95,794,,2.640,19.100000,0.02550,4.45,,0.070
868,K2-158,K2-158 c,2,5.90279000,0.062200,5503.00,0.92,0.95,948,,1.280,11.300000,0.01230,4.45,,0.070
869,K2-159,K2-159 b,1,12.42205000,0.101300,5425.00,0.90,0.83,684,,2.260,27.900000,0.02500,4.56,,-0.070
872,K2-160,K2-160 b,1,3.70587100,,5649.00,0.98,0.91,,,3.178,14.684713,0.03189,4.61,,0.070
873,K2-161,K2-161 b,1,9.28318800,,4972.00,0.99,2.57,,,6.117,10.790043,0.02184,3.63,,-0.030
874,K2-162,K2-162 b,1,9.45889000,0.079500,4842.00,0.75,0.69,631,,1.440,23.600000,0.01900,4.63,,-0.170
875,K2-163,K2-163 b,1,6.67311700,,4937.00,0.83,0.76,,,2.466,15.663288,0.02966,4.71,,0.140
876,K2-164,K2-164 b,1,17.35506600,,5791.00,1.18,2.20,,,3.249,13.912102,0.01357,3.81,,-0.230
877,K2-165,K2-165 b,3,2.35499200,,5185.00,0.83,0.80,,,1.274,9.208522,0.01453,4.46,,-0.050
878,K2-165,K2-165 c,3,4.38274500,,5185.00,0.83,0.80,,,1.554,10.510761,0.01773,4.46,,-0.050
879,K2-165,K2-165 d,3,14.10136100,,5185.00,0.83,0.80,,,2.648,27.729097,0.03020,4.46,,-0.050
880,K2-166,K2-166 b,1,8.52695000,0.085800,5960.00,1.16,1.61,1140,,2.190,11.100000,0.01240,4.09,,0.090
881,K2-167,K2-167 b,1,9.97748100,,5908.00,1.02,1.83,,,2.819,19.425698,0.01413,3.88,,-0.450
882,K2-168,K2-168 b,1,15.85398900,,5554.00,0.91,0.87,,,2.144,27.885720,0.02249,4.46,,-0.130
883,K2-169,K2-169 b,1,6.38080300,,5548.00,0.99,0.92,,,1.273,13.592261,0.01270,4.56,,0.260
885,K2-170,K2-170 b,2,7.57654400,,5748.00,0.96,0.98,,,1.418,14.299758,0.01324,4.34,,-0.110
886,K2-170,K2-170 c,2,12.40004700,,5748.00,0.96,0.98,,,1.802,20.900713,0.01683,4.34,,-0.110
887,K2-171,K2-171 b,1,5.62846600,,5250.00,0.89,1.72,,,2.687,5.470213,0.01434,3.95,,-0.090
888,K2-172,K2-172 b,2,14.31694100,,5569.00,0.93,0.87,,,1.666,25.147602,0.01758,4.61,,-0.060
889,K2-172,K2-172 c,2,29.62682000,,5569.00,0.93,0.87,,,3.206,44.208935,0.03382,4.61,,-0.060
890,K2-173,K2-173 b,1,5.86869900,,5580.00,0.88,0.84,,,1.608,12.982789,0.01749,4.52,,-0.250
891,K2-174,K2-174 b,1,19.56274300,,4500.00,0.67,0.64,,,2.492,23.488220,0.03575,4.62,,-0.240
892,K2-175,K2-175 b,1,9.52598800,,5909.00,1.09,1.42,,,2.038,11.060886,0.01316,4.11,,0.050
893,K2-176,K2-176 b,1,5.32943900,,5428.00,0.94,0.86,,,1.491,13.810807,0.01582,4.63,,0.150
894,K2-177,K2-177 b,1,14.15518500,,6063.00,1.21,1.21,,,2.116,10.638946,0.01599,4.38,,0.410
895,K2-178,K2-178 b,1,8.74781800,,5525.00,0.95,0.89,,,3.558,18.513049,0.03676,4.55,,0.090
896,K2-179,K2-179 b,1,5.17219100,,5015.00,0.82,0.77,,,2.513,20.135239,0.02999,4.63,,0.030
899,K2-180,K2-180 b,1,8.86593200,,5263.00,0.73,0.68,,,2.410,21.600908,0.03244,4.70,,-0.590
900,K2-181,K2-181 b,1,6.89425200,,5609.00,1.04,1.00,,,2.706,18.422692,0.02483,4.46,,0.420
901,K2-182,K2-182 b,1,4.73688400,,5159.00,0.85,0.79,,,2.767,13.441361,0.03211,4.59,,-0.010
902,K2-183,K2-183 b,3,0.46926900,,5482.00,0.94,0.87,,,2.599,1.396227,0.02729,4.60,,0.090
903,K2-183,K2-183 c,3,10.79347100,,5482.00,0.94,0.87,,,2.511,19.048147,0.02636,4.60,,0.090
904,K2-183,K2-183 d,3,22.62949600,,5482.00,0.94,0.87,,,2.541,45.146853,0.02668,4.60,,0.090
905,K2-184,K2-184 b,1,16.99343500,,5252.00,0.82,0.76,,,1.538,47.743674,0.01844,4.63,,-0.220
906,K2-185,K2-185 b,1,10.61664600,,5722.00,0.98,0.91,,,1.313,26.705693,0.01316,4.58,,-0.050
907,K2-186,K2-186 b,1,41.47421900,,5784.00,1.02,0.98,,,3.172,48.939252,0.02965,4.45,,0.060
908,K2-187,K2-187 b,4,0.77398100,,5477.00,0.97,0.89,,,1.383,3.377096,0.01417,4.62,,0.260
909,K2-187,K2-187 c,4,2.87178800,,5477.00,0.97,0.89,,,1.701,7.553559,0.01742,4.62,,0.260
910,K2-187,K2-187 d,4,7.14907900,,5477.00,0.97,0.89,,,3.221,14.822537,0.03300,4.62,,0.260
911,K2-187,K2-187 e,4,13.60834100,,5477.00,0.97,0.89,,,2.255,26.251690,0.02311,4.62,,0.260
912,K2-188,K2-188 b,2,1.74298300,,5982.00,1.11,1.11,,,1.259,4.724953,0.01041,4.36,,0.160
913,K2-188,K2-188 c,2,7.80759500,,5982.00,1.11,1.11,,,2.625,15.210352,0.02170,4.36,,0.160
914,K2-189,K2-189 b,2,5.17630000,,5503.00,0.93,0.86,,,1.512,14.947174,0.01608,4.61,,-0.010
915,K2-189,K2-189 c,2,6.67934000,,5503.00,0.93,0.86,,,2.484,17.032614,0.02641,4.61,,-0.010
919,K2-190,K2-190 b,2,10.09885800,,5631.00,0.90,0.91,,,1.357,17.225461,0.01364,4.38,,-0.190
920,K2-190,K2-190 c,2,21.57402300,,5631.00,0.90,0.91,,,1.093,27.966545,0.01099,4.38,,-0.190
921,K2-191,K2-191 b,1,2.85864600,,5176.00,0.90,0.84,,,1.579,8.602679,0.01724,4.57,,0.310
922,K2-192,K2-192 b,1,4.16322100,,5252.00,0.87,0.83,,,1.575,17.447409,0.01743,4.49,,0.050
923,K2-193,K2-193 b,1,14.78720700,,5623.00,0.99,0.96,,,4.015,25.230497,0.03846,4.46,,0.210
924,K2-194,K2-194 b,1,39.72138600,,5979.00,1.11,1.28,,,3.642,30.988860,0.02607,4.21,,0.100
925,K2-195,K2-195 b,2,15.85354300,,5712.00,0.96,0.91,,,2.940,24.129064,0.02974,4.55,,-0.090
926,K2-195,K2-195 c,2,28.48278600,,5712.00,0.96,0.91,,,2.576,27.673288,0.02605,4.55,,-0.090
927,K2-196,K2-196 b,1,48.32422200,,6045.00,1.16,1.54,,,3.600,23.462939,0.02145,4.08,,0.010
928,K2-197,K2-197 b,1,8.35795400,,5675.00,0.97,0.91,,,2.502,16.971210,0.02519,4.58,,-0.010
929,K2-198,K2-198 b,1,17.04317900,,5262.00,0.84,0.78,,,4.119,42.001955,0.04850,4.63,,-0.160
930,K2-199,K2-199 b,2,3.22542300,,4681.00,0.71,0.67,,,1.882,10.656216,0.02585,4.69,,-0.230
931,K2-199,K2-199 c,2,7.37449700,,4681.00,0.71,0.67,,,2.837,22.106383,0.03897,4.69,,-0.230
932,K2-200,K2-200 b,1,2.84988300,,5233.00,0.86,0.79,,,1.364,13.198523,0.01580,4.71,,-0.040
933,K2-201,K2-201 b,2,1.05979000,,5507.00,0.96,0.88,,,1.400,4.652897,0.01462,4.68,,0.130
934,K2-201,K2-201 c,2,22.77987800,,5507.00,0.96,0.88,,,3.286,40.683505,0.03430,4.68,,0.130
935,K2-202,K2-202 b,1,3.40516400,,5491.00,0.97,0.91,,,2.302,11.942004,0.02317,4.55,,0.270
936,K2-203,K2-203 b,1,9.69510100,,5000.00,0.79,0.76,,,1.371,19.031555,0.01647,4.43,,-0.070
937,K2-204,K2-204 b,1,7.05578400,,5755.00,1.01,1.18,,,3.046,11.042580,0.02371,4.23,,0.070
938,K2-205,K2-205 b,1,26.67226300,,5890.00,0.95,1.08,,,1.996,31.035514,0.01698,4.25,,-0.260
939,K2-206,K2-206 b,1,18.29454900,,5043.00,0.79,0.76,,,2.795,28.284030,0.03381,4.46,,-0.140
940,K2-207,K2-207 b,1,12.48749000,,5522.00,0.94,0.93,,,2.606,21.180496,0.02574,4.41,,0.110
941,K2-208,K2-208 b,1,4.19094800,,5582.00,0.93,0.86,,,1.679,14.156898,0.01785,4.62,,-0.110
942,K2-209,K2-209 b,1,2.08061500,,4720.00,0.74,0.71,,,0.869,8.501853,0.01118,4.46,,-0.060
945,K2-210,K2-210 b,1,0.57023300,,5396.00,0.91,0.85,,,0.819,4.320710,0.00881,4.55,,0.050
946,K2-211,K2-211 b,1,0.66955800,,5221.00,0.88,0.82,,,1.375,3.414080,0.01545,4.60,,0.110
947,K2-212,K2-212 b,1,9.79540000,,4349.00,0.62,0.60,,,2.393,28.446398,0.03668,4.72,,-0.330
948,K2-213,K2-213 b,1,8.13087000,,5794.00,1.07,1.20,,,1.514,13.249090,0.01153,4.25,,0.250
949,K2-214,K2-214 b,1,8.59653100,,5768.00,1.02,1.12,,,2.216,15.594418,0.01809,4.27,,0.120
950,K2-215,K2-215 b,1,8.26964800,,5704.00,1.00,0.97,,,2.124,28.084531,0.01998,4.41,,0.110
951,K2-216,K2-216 b,1,2.17478900,,4591.00,0.70,0.67,,,1.678,8.677734,0.02312,4.59,,-0.180
952,K2-217,K2-217 b,1,14.07452400,,5967.00,1.10,1.33,,,3.579,16.108984,0.02460,4.17,,0.040
953,K2-218,K2-218 b,1,8.67988500,,5757.00,1.05,1.01,,,2.569,16.021068,0.02336,4.45,,0.250
954,K2-219,K2-219 b,3,3.90128700,,5753.00,1.02,1.19,,,1.348,9.031985,0.01039,4.23,,0.130
955,K2-219,K2-219 c,3,6.66767000,,5753.00,1.02,1.19,,,1.438,10.347938,0.01109,4.23,,0.130
956,K2-219,K2-219 d,3,11.13727800,,5753.00,1.02,1.19,,,2.576,15.766969,0.01986,4.23,,0.130
958,K2-220,K2-220 b,1,13.68251100,,5599.00,0.96,0.93,,,2.215,28.058599,0.02184,4.43,,0.060
959,K2-221,K2-221 b,1,2.39909400,,5716.00,1.01,0.95,,,1.679,6.506267,0.01624,4.57,,0.130
960,K2-222,K2-222 b,1,15.38882500,,5934.00,0.95,1.04,,,2.223,23.382130,0.01959,4.29,,-0.300
961,K2-223,K2-223 b,2,0.50565000,0.012700,5835.00,1.06,0.99,2271,,0.890,3.900000,0.00830,4.48,,0.120
962,K2-223,K2-223 c,2,4.56327000,0.054900,5835.00,1.06,0.99,1091,,1.570,11.000000,0.01460,4.48,,0.120
963,K2-224,K2-224 b,2,4.47904000,0.051600,5620.00,0.91,0.84,1002,,1.560,13.200000,0.01700,4.55,,-0.190
964,K2-224,K2-224 c,2,10.09489000,0.088600,5620.00,0.91,0.84,764,,2.410,20.300000,0.02620,4.55,,-0.190
965,K2-225,K2-225 b,1,15.87209000,0.134000,5742.00,1.27,1.70,902,,3.490,17.800000,0.01880,4.08,,0.380
966,K2-226,K2-226 b,1,3.27108000,0.041300,5424.00,0.88,0.91,1120,,1.540,9.700000,0.01560,4.47,,-0.030
967,K2-227,K2-227 b,1,13.62183200,,5673.00,0.95,0.89,,,1.666,21.261583,0.01714,4.58,,-0.100
968,K2-228,K2-228 b,1,2.69828000,0.033800,4715.00,0.71,0.65,914,,1.210,12.200000,0.01700,4.66,,-0.250
969,K2-229,K2-229 b,2,0.58426000,0.013100,5315.00,0.87,0.79,1818,,1.140,3.400000,0.01330,4.59,,-0.090
970,K2-229,K2-229 c,2,8.32727000,0.076900,5315.00,0.87,0.79,750,,2.030,24.900000,0.02360,4.59,,-0.090
971,K2-230,K2-230 b,1,2.86041000,0.040900,5945.00,1.11,1.39,1529,,1.960,7.300000,0.01290,4.20,,0.100
972,K2-231,K2-231 b,1,13.84190100,,5695.00,1.01,0.95,,,2.500,27.000000,0.02390,4.48,,0.140
973,K2-232,K2-232 b,1,11.16845400,0.103560,6154.00,1.19,1.16,1030,,11.209,19.250000,0.08868,4.38,,0.100
974,K2-233,K2-233 b,3,2.46746000,0.033170,4950.00,0.80,0.74,1040,273.00,1.398,9.490000,0.01721,4.71,,0.070
975,K2-233,K2-233 c,3,7.06142000,0.066870,4950.00,0.80,0.74,728,67.10,1.335,19.340000,0.01643,4.71,,0.070
976,K2-233,K2-233 d,3,24.36620000,0.152700,4950.00,0.80,0.74,482,12.90,2.640,44.200000,0.03254,4.71,,0.070
977,K2-237,K2-237 b,1,2.18056000,0.037000,6257.00,1.28,1.43,1884,,18.495,5.500000,0.11800,4.24,0.1440,0.140
978,K2-238,K2-238 b,1,3.20466000,0.046000,5630.00,1.19,1.59,1587,,14.572,6.270000,0.08000,4.11,0.0775,0.340
979,K2-239,K2-239 b,3,5.24000000,0.044100,3420.00,0.40,0.36,502,,1.100,24.600000,0.02590,4.90,,-0.100
980,K2-239,K2-239 c,3,7.77500000,0.057600,3420.00,0.40,0.36,427,,1.000,34.000000,0.02410,4.90,,-0.100
981,K2-239,K2-239 d,3,10.11500000,0.068500,3420.00,0.40,0.36,399,,1.100,38.800000,0.02550,4.90,,-0.100
984,K2-240,K2-240 b,2,6.03400000,0.051300,3810.00,0.58,0.54,586,,2.000,21.100000,0.03620,4.70,,-0.100
985,K2-240,K2-240 c,2,20.52300000,0.115900,3810.00,0.58,0.54,389,,1.800,48.000000,0.03130,4.70,,-0.100
986,K2-241,K2-241 b,1,26.81990000,0.156700,5262.00,0.71,0.75,507,,2.550,43.300000,0.03120,4.54,,-0.440
987,K2-242,K2-242 b,1,6.51389000,0.049400,3459.00,0.38,0.37,416,,2.540,22.100000,0.06330,4.89,,-0.010
988,K2-243,K2-243 b,2,11.54182000,0.108700,6570.00,1.29,1.39,1035,,2.170,21.200000,0.01440,4.26,,-0.030
989,K2-243,K2-243 c,2,24.94598000,0.181700,6570.00,1.29,1.39,801,,2.010,35.600000,0.01330,4.26,,-0.030
990,K2-244,K2-244 b,1,21.06884000,0.141800,5677.00,0.86,0.92,638,,1.750,38.300000,0.01740,4.44,,-0.290
991,K2-245,K2-245 b,1,11.89307000,0.095900,5793.00,0.83,1.25,923,,4.340,17.500000,0.03170,4.16,,-0.450
992,K2-246,K2-246 b,1,5.76918000,0.060200,5610.00,0.87,0.94,977,,3.490,11.100000,0.03410,4.43,,-0.190
993,K2-247,K2-247 b,2,2.25021000,0.030400,4667.00,0.74,0.69,979,,2.120,8.700000,0.02830,4.63,,-0.080
994,K2-247,K2-247 c,2,6.49424000,0.061500,4667.00,0.74,0.69,688,,2.190,18.200000,0.02920,4.63,,-0.080
995,K2-248,K2-248 b,1,7.17256000,0.069900,5528.00,0.88,0.92,886,,2.570,16.200000,0.02550,4.45,,-0.100
996,K2-249,K2-249 b,1,12.40900000,0.115100,6504.00,1.32,1.57,1061,,2.790,14.500000,0.01620,4.16,,0.040
998,K2-250,K2-250 b,1,4.01457000,0.045900,5172.00,0.80,0.81,958,,2.440,12.300000,0.02760,4.53,,-0.090
999,K2-251,K2-251 b,1,9.30075000,0.069400,3717.00,0.52,0.49,437,,2.350,20.600000,0.04370,4.76,,-0.040
1000,K2-252,K2-252 b,1,13.81513000,0.104100,5152.00,0.79,0.82,639,,1.740,25.700000,0.01930,4.50,,-0.090
1001,K2-253,K2-253 b,1,4.00167000,0.050600,6027.00,1.08,1.10,1238,,12.670,13.900000,0.10500,4.39,,0.000
1002,K2-254,K2-254 b,2,4.09639000,0.044800,4629.00,0.71,0.67,791,,1.630,15.800000,0.02230,4.64,,-0.140
1003,K2-254,K2-254 c,2,12.11839000,0.092300,4629.00,0.71,0.67,551,,2.190,31.300000,0.02980,4.64,,-0.140
1004,K2-255,K2-255 b,1,1.96417000,0.027400,4676.00,0.71,0.69,1034,,2.900,9.100000,0.03860,4.62,,-0.140
1005,K2-256,K2-256 b,1,5.52011000,0.057800,5219.00,0.84,0.78,845,,2.630,7.600000,0.03090,4.58,,-0.100
1006,K2-257,K2-257 b,1,1.60588000,0.021600,3725.00,0.52,0.50,789,,0.830,8.200000,0.01530,4.76,,-0.030
1007,K2-258,K2-258 b,1,19.09210000,0.149000,6351.00,1.21,1.31,831,,3.000,21.500000,0.02100,4.29,,0.010
1008,K2-259,K2-259 b,1,15.48043000,0.127100,6059.00,1.14,1.13,795,,2.320,29.900000,0.01890,4.39,,0.160
1010,K2-260,K2-260 b,1,2.62666570,0.040400,6367.00,1.39,1.69,1957,,17.396,5.291000,0.09731,4.15,0.4005,-0.140
1011,K2-261,K2-261 b,1,11.63344000,0.102000,5537.00,1.10,1.65,1080,,9.528,13.300000,0.05293,4.21,0.3500,0.360
1012,K2-263,K2-263 b,1,50.81894700,0.257300,5368.00,0.88,0.85,470,,2.410,64.700000,0.02600,4.51,2.0200,-0.080
1013,K2-264,K2-264 b,2,5.83977000,,3580.00,0.47,0.47,489,,2.270,22.400000,0.04390,,6.3000,0.120
1014,K2-264,K2-264 c,2,19.66365000,,3580.00,0.47,0.47,326,,2.770,50.400000,0.05360,,6.3000,0.120
1015,K2-265,K2-265 b,1,2.36917200,0.033760,5477.00,0.92,0.98,,,1.710,,0.01604,4.42,0.9800,0.078
1016,K2-266,K2-266 b,4,0.65852400,0.013060,4285.00,0.69,0.70,1515,879.50,3.300,4.000000,0.04300,4.58,2.7900,-0.120
1017,K2-266,K2-266 c,4,7.81400000,0.067900,4285.00,0.69,0.70,665,32.40,0.705,20.800000,0.00920,4.58,2.7900,-0.120
1018,K2-266,K2-266 d,4,14.69700000,0.103500,4285.00,0.69,0.70,538,13.95,2.930,31.700000,0.03827,4.58,2.7900,-0.120
1019,K2-266,K2-266 e,4,19.48200000,0.124900,4285.00,0.69,0.70,490,9.58,2.730,38.200000,0.03564,4.58,2.7900,-0.120
1093,K2-80,K2-80 d,3,28.86725300,,5441.00,0.90,0.87,,,2.552,45.619404,0.02781,4.52,,
1124,KELT-21,KELT-21 b,1,3.61276470,0.052240,7598.00,1.46,1.64,2051,2950.00,17.777,6.860000,0.09952,4.17,0.4680,-0.405
1163,KPS-1,KPS-1 b,1,1.70629100,0.026900,5165.00,0.89,0.91,1459,729.00,11.545,,0.11430,4.47,1.6800,0.220
2025,Kepler-1654,Kepler-1654 b,1,1047.83560000,2.026000,5597.00,1.01,1.18,206,0.30,9.180,370.300000,0.07138,4.30,0.8760,-0.088
2026,Kepler-1655,Kepler-1655 b,1,11.87287870,0.103000,6148.00,1.03,1.03,,155.00,2.213,20.500000,0.01965,4.36,1.3000,-0.240
2027,Kepler-1656,Kepler-1656 b,1,31.57865900,0.197000,5731.00,1.03,1.10,651,,5.020,38.700000,0.04191,4.37,,0.190
